num_Bpro
6
2
0
0
0
0
0
0
0
0
0
0
17
3
0
45
24
16
4
3
2
2
2
1
1
0
0
0
0
0
0
3
2
2
0
0
0
0
0
54
2
0
0
0
0
19
3
0
51
26
14
4
3
1
2
2
1
1
0
0
6
0
3
2
1
1
0
0
0
